1;300
2;299
3;298
4;296
5;295
6;289
7;288
8;286
9;285
10;283
11;282
12;280
13;278
14;277
15;273
16;268
17;267
18;264
19;261
20;260
21;259
22;258
23;256
24;253
25;251
26;250
27;249
28;247
29;244
30;243
31;242
32;240
33;238
34;237
35;236
36;235
37;234
38;233
39;232
40;230
41;229
42;225
43;224
44;223
45;222
46;219
47;217
48;215
49;214
50;212
51;211
52;210
53;208
54;207
55;206
56;205
57;204
58;202
59;200
60;199
61;197
62;196
63;195
64;193
65;192
66;191
67;189
68;188
69;186
70;184
71;181
72;178
73;177
74;175
75;174
76;173
77;172
78;171
79;170
80;169
81;167
82;166
83;163
84;162
85;161
86;159
87;158
88;157
89;156
90;155
91;153
92;152
93;149
94;147
95;146
96;144
97;143
98;142
99;141
100;140
101;138
102;137
103;136
104;135
105;134
106;133
107;132
108;130
109;129
110;127
111;126
112;125
113;123
114;122
115;118
116;117
117;116
118;115
119;114
120;112
121;110
122;109
123;108
124;107
125;106
126;105
127;104
128;103
129;102
130;101
131;99
132;98
133;97
134;93
135;92
136;90
137;89
138;88
139;86
140;85
141;82
142;81
143;80
144;79
145;78
146;77
147;75
148;73
149;72
150;70
151;69
152;68
153;67
154;65
155;64
156;63
157;62
158;61
159;60
160;58
161;57
162;55
163;52
164;49
165;48
166;47
167;46
168;43
169;41
170;39
171;38
172;36
173;35
174;34
175;33
176;32
177;31
178;29
179;28
180;26
181;25
182;24
183;23
184;21
185;20
186;18
187;17
188;15
189;14
190;10
191;6
192;5
193;4
194;3
195;2
196;1
